Timestamp,Raw_value_MQ135,ACETONA,TOLUENO,ETANOL,CO2,NH4,CO
1668097174,12106.0,316.7423,43.13609,196.6952,403.9345,96.67796,0.9978153
1668097195,12084.67,315.5443,45.26428,195.5749,406.6109,98.36548,0.9827486
1668097215,11988.67,317.0366,44.3798,202.7222,401.1399,95.76108,1.01343
1668097236,12130.0,319.0905,44.8091,197.5383,407.5637,97.4815,0.9935616
1668097257,12228.83,317.594,45.57606,195.8331,404.5101,96.25675,1.023003
1668097277,12365.0,327.5921,44.35823,198.2347,417.2759,97.49158,0.9444104
1668097298,12237.0,315.6858,43.16635,193.3759,422.8792,96.90182,0.9967162
1668097419,12282.67,318.1678,43.02308,195.2328,401.2332,95.66248,0.9956947
1668097440,12202.0,322.856,43.87984,195.7307,405.4413,96.70226,1.029698
1668097460,12258.33,328.7937,43.7579,201.3734,407.2957,97.61128,0.9999506
1668097481,12255.67,319.9987,43.63507,199.4523,418.0968,96.97043,0.9978016
1668097502,12384.17,322.242,45.01036,195.249,404.256,96.03548,0.9836723
1668097523,12352.17,324.1016,43.67466,193.4033,408.0333,97.41879,1.014037
1668097543,12485.67,327.5694,44.95713,195.1102,413.9356,95.92188,1.037331
1668097564,12405.67,321.1112,43.2663,194.6138,409.3602,96.64552,1.013961
1668097585,12322.83,319.675,43.68676,198.9309,400.9136,93.75465,0.9861805
1668097606,12349.5,326.6338,43.70225,202.8446,404.6057,99.76338,0.9969033
1668097627,12323.0,320.593,44.91465,195.261,408.8607,98.7246,0.9866144
1668097647,12130.0,323.3041,43.55566,201.8123,410.7823,98.82848,1.021895
1668097668,12146.0,314.5917,42.75267,198.5684,416.5477,92.72835,0.9913374
1668097689,12269.0,324.0033,44.49088,196.0021,405.1601,95.45494,1.004246
1668097710,12368.33,321.4437,43.99196,195.1118,396.6608,98.01147,0.9792943
1668097730,12293.17,329.0251,43.06092,196.6774,414.358,98.88171,1.002217
1668097751,12285.17,314.7529,43.84305,202.1632,404.8917,95.03658,1.013925
1668097772,12427.0,322.5779,43.79588,201.834,409.3871,96.96041,0.9798943
1668097793,12124.67,310.1648,44.31917,199.405,406.7042,96.0507,0.9892024
1668097813,12290.5,324.9208,43.55144,200.2765,405.7458,98.10454,0.9999618
1668097834,12231.5,326.7534,44.6506,196.7445,405.7328,97.54396,1.034001
1668097855,12264.0,315.9963,43.7521,197.3176,400.2106,96.24782,1.005488
1668097876,12413.67,307.7695,44.77551,201.7227,400.5919,94.72383,0.9947924
1668097896,12539.0,321.67,44.19292,200.0331,405.8123,96.65209,0.9644914
1668097917,12480.33,318.2307,43.39945,196.2692,407.8388,96.39008,1.007149
1668097938,12459.0,324.2959,44.19963,199.3862,419.8449,97.01965,0.9919703
1668097959,12445.67,332.3926,43.43508,196.0865,411.244,96.81726,1.003257
1668097980,12448.33,329.7823,43.28848,193.2163,409.1101,96.38468,0.981974
1668098000,12488.33,323.7545,43.85452,194.6481,400.5171,96.64771,1.032314
1668098021,12464.17,314.0493,44.83145,196.2615,408.7457,97.36212,0.9959241
1668098042,12387.0,329.0763,42.543,199.0701,403.9867,95.62902,1.025974
1668098063,12298.83,322.866,44.84278,197.5646,413.596,96.30493,0.9914651
1668098083,12352.33,322.2769,43.7953,201.4332,414.9651,94.83625,0.9903031
1668098104,12349.67,319.3955,43.92114,197.3799,404.8954,96.77097,0.9754913
1668098125,12336.17,313.136,43.44194,195.4249,409.1979,97.93193,0.959646
1668098146,12424.17,321.3935,44.31968,198.5527,411.4738,96.91597,0.9941936
1668098166,12424.17,313.9343,43.4772,194.6657,406.8214,99.38693,1.014843
1668098187,12464.33,311.1379,43.28811,203.5633,401.9598,97.59818,1.016346
1668098208,12440.33,318.6007,45.49276,197.5681,410.5559,96.63239,1.039755
1668098229,12421.5,316.3246,43.16546,191.2007,430.9308,96.17728,0.9871035
1668098350,12344.33,318.8142,45.95775,195.4597,413.3452,99.76235,0.9840776
1668098370,12242.67,321.3856,44.15165,202.679,409.4368,96.2491,0.9906295
1668098391,12255.67,313.6407,43.07252,194.276,408.5753,97.20819,0.9935308
1668098412,12531.0,330.5149,42.66954,199.2757,417.6395,97.34418,1.004238
1668098433,12443.0,317.1284,43.44796,198.2532,409.9087,96.89783,0.9967683
1668098453,12411.0,334.6163,43.67153,201.0562,408.7408,98.58308,1.049237
1668098474,12325.5,319.9816,43.56102,198.9381,404.4809,96.9762,0.9831787
1668098495,12499.0,313.3073,43.09291,192.3866,410.3232,95.51814,1.016348
1668098516,12552.33,324.8545,42.93447,199.0926,406.0103,97.91609,1.053693
1668098537,12904.33,325.2942,44.46984,199.9993,408.2993,99.34531,1.012634
1668098557,12488.33,320.5222,45.3053,195.2807,405.7139,96.12056,0.9948614
1668098578,12413.67,327.8191,44.12018,196.0384,414.2498,95.12473,0.9956092
1668098599,12320.17,320.5372,43.40152,204.3842,408.0021,96.75258,0.9967866
1668098620,12330.67,317.2551,43.99543,194.4067,418.7195,98.84738,1.007629
1668098640,12405.67,317.9843,43.36053,197.7455,399.905,97.34764,1.003312
1668098661,12338.67,318.937,44.44016,198.5502,403.6207,94.16118,1.024821
1668098682,12477.67,316.8658,44.37293,194.5181,414.6066,95.93392,0.9978868
1668098703,12557.67,318.9696,43.92348,200.0525,411.5427,95.2563,1.037471
1668098723,12515.0,328.3824,44.3246,197.5659,420.4315,95.16731,1.002689
