Timestamp,Raw_value_MQ135,ACETONA,TOLUENO,ETANOL,CO2,NH4,CO
1667996310,14395.0,317.1296,44.0266,198.802,409.9982,97.80412,0.9942664
1667996331,14211.0,317.4152,44.17752,199.1118,409.4681,96.78233,1.008797
1667996351,14091.0,319.1478,44.10205,196.6956,408.6934,96.30681,1.019675
1667996372,14016.33,319.5102,44.06475,199.7398,410.3551,97.24051,0.9961103
1667996393,13891.0,322.3691,44.13675,199.1217,403.2944,99.34308,0.9842696
1667996414,13928.33,319.6114,44.81518,193.3713,405.3933,96.94783,0.9890603
1667996434,13971.0,322.648,43.9924,202.0729,411.8018,98.2769,0.9960066
1667996455,13992.33,335.075,43.58347,199.884,410.8511,96.36445,0.9852275
1667996476,14048.33,322.1102,44.13465,194.1002,412.2524,97.35886,0.9999808
1667996497,14088.33,320.8504,42.85013,198.9651,404.3161,97.32422,0.9951661
1667996517,14061.67,319.9995,45.35862,197.6092,408.9828,96.36567,0.9702586
1667996538,14005.67,324.62,43.70028,198.6655,407.8391,95.84242,0.9873053
1667996559,13941.67,321.5694,44.25229,196.3985,407.2853,98.31503,0.9875879
1667996580,13984.33,316.1388,44.0282,195.7386,408.6855,97.30471,1.000264
1667996601,14051.0,321.305,44.46729,197.2788,414.7826,97.12144,0.9971518
1667996621,14080.33,320.711,43.41606,198.0609,407.8425,96.48364,1.018625
1667996642,14128.33,318.67,43.95646,196.6998,414.3433,95.09583,0.9913944
1667996663,14429.67,321.7517,43.30367,197.0177,406.2645,96.32004,0.9942881
1667996684,14427.0,321.0281,44.06491,199.535,406.5024,97.41208,0.9925138
1667996704,14277.67,323.6474,43.15671,198.2099,409.4338,96.77584,1.001958
1667996725,14104.33,320.5732,43.88443,198.2118,414.0593,96.71458,1.022635
1667996746,14040.33,321.0461,43.91953,197.4647,409.1639,96.71589,1.009892
1667996767,14043.0,319.2202,43.8929,199.4227,407.0194,96.65131,1.011636
1667996787,14067.0,319.7955,45.03335,195.3885,408.1149,97.36111,1.012854
1667996808,14091.0,320.524,45.3826,197.7619,407.5701,96.31159,0.9941982
1667996829,14043.0,322.386,43.9906,198.363,407.8434,96.30467,0.9941633
1667996850,13936.33,316.1144,43.84613,200.6708,407.5939,97.36907,1.016696
1667996870,14000.33,321.0479,45.37881,198.3649,403.2035,96.71329,1.004072
1667996891,14051.0,321.8459,45.45261,198.3644,403.2203,97.00703,1.022597
1667996912,14125.67,320.7822,43.81799,195.6591,410.8329,96.65728,0.9932268
1667996933,15261.67,319.5275,43.88432,194.5823,415.4963,96.44825,0.9889834
1667996954,16798.67,324.3468,43.65954,203.4906,409.4833,96.48531,1.014561
1667996974,16027.0,318.1039,43.65169,194.8359,408.2668,95.28196,0.9884278
1667996995,16043.0,316.5709,43.81879,197.122,408.5683,97.47422,0.999722
1667997016,15688.33,318.3075,43.07801,197.0713,406.0467,95.62185,1.010948
1667997037,15323.0,320.0315,44.27423,200.4979,409.9076,96.0657,0.9980324
1667997057,15243.0,318.5481,43.71583,197.1851,403.5448,97.33234,0.9972626
1667997078,15053.67,312.3781,44.19633,197.9179,398.1769,97.73132,0.9963121
1667997099,14531.0,320.1151,44.49417,201.3401,414.5492,96.5483,0.9895576
1667997120,14227.0,319.227,43.33711,197.6391,408.1247,96.95027,1.00096
1667997140,14003.0,324.4857,43.77242,198.9804,410.5933,95.96243,1.026764
1667997161,14024.33,313.9798,44.36377,199.8497,408.9696,97.47131,0.9661276
1667997182,14027.0,319.2227,43.44557,197.3077,407.2897,96.83168,0.9814512
1667997203,14008.33,319.1882,44.10056,200.0461,395.1587,97.11968,1.004878
1667997224,14064.33,317.1618,43.99302,199.271,398.696,96.30148,0.9844261
1667997244,14067.0,324.2162,43.09828,199.4217,404.5865,96.9473,1.013667
1667997265,14195.0,315.3979,43.98984,195.6924,395.1637,96.32446,1.000004
1667997286,14296.33,319.2354,44.78037,198.0613,402.6065,93.5215,1.000933
1667997307,14184.33,316.193,44.24884,196.7181,405.406,95.60614,0.9971259
1667997327,14168.33,325.0195,43.95395,197.6124,408.3672,95.90446,0.9874293
1667997348,14120.33,329.9466,44.10694,195.8045,414.3301,96.6005,0.9999976
