Timestamp,Raw_value_MQ135,ACETONA,TOLUENO,ETANOL,CO2,NH4,CO
1668147594,10260.67,320.6066,43.4986,195.9592,406.2048,97.27898,1.019691
1668147615,10228.67,327.7806,44.3872,200.5529,417.1891,96.52309,1.016557
1668147635,10194.0,319.6122,43.73391,199.8036,410.1059,97.27495,0.974904
1668147656,10146.0,319.9269,45.77067,196.3085,399.0006,96.53169,0.9949506
1668147677,10274.0,321.9276,44.05805,198.4448,405.8397,96.54244,0.9938233
1668147698,10260.67,318.6439,43.22385,196.1922,411.807,96.54801,1.004187
1668147718,10324.67,316.3697,42.52413,207.3708,399.4925,97.06718,0.9798794
1668147739,10218.0,314.7896,44.52985,201.1358,408.2537,100.1319,1.018552
1668147760,10175.33,315.3844,43.56063,201.4022,408.2223,96.61575,0.9926076
1668147781,10300.67,317.288,43.82626,196.1679,405.9687,95.06512,0.9839396
1668147801,10287.33,320.2628,45.58755,190.1797,403.6388,94.97454,0.9987956
1668147822,10287.33,314.5956,42.50826,197.1248,412.4171,97.20982,1.012199
1668147843,10276.67,315.1248,43.64109,195.0308,407.9157,95.34566,0.9865592
1668147864,10319.33,323.5092,42.35828,194.3845,410.7186,98.10792,1.00123
1668147884,10407.33,327.8411,43.9193,198.2535,404.9501,98.97063,0.9975415
1668147905,10370.0,330.9799,43.64298,199.0585,410.5974,97.25032,1.003694
1668147926,10407.33,318.3261,44.34625,194.1897,406.5385,97.35809,0.9927226
1668147947,10399.33,319.6106,43.33039,199.3971,405.5265,96.68468,0.9975107
1668147967,10527.33,323.1544,43.52942,200.6934,394.344,97.59393,0.9779292
1668147988,10498.0,328.1209,43.96441,194.4919,411.3991,97.63344,1.002506
1668148009,10503.33,306.4061,43.9641,197.3112,406.7764,95.6599,1.024763
1668148030,10482.0,316.5084,43.33201,196.971,416.3124,94.87695,0.9852088
1668148051,10514.0,316.8407,43.23814,189.5997,400.514,97.43984,1.010833
1668148071,10468.67,322.9283,43.87159,199.0227,408.6467,97.12733,1.006522
1668148092,10468.67,322.976,42.74107,198.055,405.9234,94.92167,0.9737273
1668148113,10450.0,316.65,43.50561,199.0091,407.6083,95.76732,1.005862
1668148134,10490.0,319.3065,43.78656,195.587,415.3138,97.92035,0.9950808
1668148154,10436.67,318.6327,43.9628,197.8745,402.7459,96.46787,1.001076
1668148175,10468.67,313.0967,43.45863,201.9138,408.6071,98.09512,0.9977901
1668148196,10458.0,315.7949,43.33426,198.0773,412.3704,96.39507,1.04742
1668148217,10519.33,320.2659,44.93751,193.7728,414.0587,96.48699,1.001219
1668148237,10554.0,321.8738,42.50493,196.554,407.3452,96.97384,0.9914707
1668148258,10562.0,317.4056,44.64172,193.9068,392.3819,95.97099,0.9938575
1668148279,10474.0,321.9061,44.73066,193.9291,408.2513,98.01454,1.01076
1668148300,10522.0,320.6069,44.3432,199.3881,402.47,97.78581,0.9964551
1668148321,10516.67,322.2101,43.00842,195.9662,405.2685,99.06388,0.9796199
1668148341,10471.33,321.5681,44.64501,194.1298,412.3747,97.79692,0.978851
1668148362,10538.0,316.6845,42.78575,194.5108,415.0779,96.77939,1.001014
1668148383,10527.33,318.8067,44.37077,198.0603,408.9833,98.27198,1.007285
1668148404,10538.0,321.9102,44.01505,200.924,411.391,96.61456,1.001302
1668148424,10530.0,315.8321,44.36248,197.3283,399.8037,97.12259,1.001362
1668148445,10580.67,322.5308,43.69017,194.1346,403.8105,96.97694,0.9939673
1668148466,10562.0,328.8405,43.27334,198.4315,413.5087,97.355,0.9927578
1668148487,10586.0,325.5965,43.64102,195.5624,407.5732,97.06159,0.9965463
1668148507,10554.0,319.5624,43.50366,199.2046,413.8267,98.15957,1.021335
1668148528,10570.0,321.2366,44.72387,197.3068,403.1426,95.88178,1.029576
