Timestamp,Raw_value_MQ135,ACETONA,TOLUENO,ETANOL,CO2,NH4,CO
1668100408,14688.33,317.9983,44.06132,198.5236,404.7065,97.63129,1.008484
1668100429,14928.33,308.6961,44.35195,196.4557,413.4102,97.05363,0.9990657
1668100449,14923.0,324.0834,44.37576,202.0015,405.0171,97.27786,0.9944355
1668100470,15019.0,320.0119,43.71216,197.9184,407.7786,96.28068,1.011178
1668100491,15024.33,324.4927,44.3087,199.798,412.0676,97.16541,0.9992663
1668100512,15008.33,324.2591,43.56878,196.7011,406.7846,96.84178,1.000973
1668100532,15136.33,324.5338,43.30889,197.4911,407.5722,96.15736,1.0057
1668100553,15064.33,319.279,44.05608,196.2083,407.3134,97.21984,1.000936
1668100574,15051.0,315.3264,43.67553,199.8009,411.7497,98.52566,0.9954315
1668100595,15072.33,318.7836,43.36901,201.1311,399.0426,97.95248,1.001741
1668100615,15064.33,318.492,43.06441,195.7692,402.0953,97.11018,1.008406
1668100636,15056.33,317.5674,44.33451,197.8029,410.6488,97.32673,1.012218
1668100657,15267.0,317.6412,44.40418,199.3627,406.2965,97.28106,1.00459
1668100678,15251.0,323.9548,44.2001,195.0977,406.9547,97.60518,1.000028
1668100698,15243.0,322.2211,44.50961,198.6504,407.8316,96.00503,1.014869
1668100719,15261.67,328.2986,43.40495,193.9637,405.2138,98.11737,0.9818229
1668100740,15357.67,323.2448,43.50882,199.3509,410.1238,97.27046,0.9926435
1668100761,15333.67,324.1634,44.19034,197.9161,410.3867,97.22623,1.015728
1668100782,15261.67,321.7368,44.33102,198.0435,408.0953,97.10582,0.9697744
1668100802,15269.67,319.2855,43.5817,196.7851,409.9654,95.13587,1.020566
1668100823,15232.33,320.4314,43.88399,196.5,410.1534,97.32516,0.9872714
1668100844,15021.67,313.8359,43.67451,196.6259,408.6066,96.60962,1.007396
1668100865,15136.33,322.1602,44.02217,197.0669,409.9046,97.33929,0.990101
1668100885,15045.67,318.7716,44.3372,196.2358,405.7605,98.01074,0.9847108
1668100906,15224.33,316.1251,43.1672,197.7682,404.9893,97.10838,1.00736
1668100927,15304.33,319.7669,43.91725,197.0771,406.0077,97.48981,1.000983
1668100948,15117.67,323.9906,43.43288,198.7763,413.3994,96.94146,1.001857
1668100968,15216.33,322.241,42.93679,199.6486,406.7964,96.49912,1.013087
1668100989,15165.67,319.7152,43.06801,197.3559,408.0729,97.38214,0.99725
1668101010,15037.67,318.5202,43.72561,201.3981,410.7115,98.0949,1.025108
1668101031,15200.33,319.7774,43.81539,195.1117,410.6235,97.1083,1.009275
1668101051,15285.67,327.7461,44.3609,195.2245,404.4875,97.54855,1.007345
1668101072,15323.0,317.114,43.88165,196.3494,407.0506,95.89852,1.009378
1668101093,15195.0,319.2849,44.51274,197.5508,403.9406,97.15103,0.9719809
1668101114,15147.0,314.874,43.95274,198.6422,408.5989,97.71352,0.996271
1668101135,15123.0,321.2831,44.33644,199.4976,407.5552,96.78668,1.000919
1668101155,15080.33,313.1514,43.46582,198.9106,404.5007,97.93191,0.9962913
1668101176,14992.33,320.5133,44.49031,197.7236,399.1809,96.71988,0.9880053
1668101197,15045.67,322.0025,43.56913,199.1752,409.5816,96.49887,1.005563
1668101218,14965.67,320.2704,43.84875,200.3502,398.6696,97.27826,0.9963118
1668101238,15072.33,317.8031,43.40027,199.9317,408.8924,95.93748,0.9909061
1668101259,15195.0,319.3332,44.19599,195.9427,406.5433,96.94722,1.005597
1668101280,15280.33,323.73,43.51369,201.0956,419.1196,97.05332,0.9935695
1668101301,15149.67,317.0433,43.70856,193.948,417.7703,95.35458,0.9916578
1668101322,15197.67,317.5415,43.98701,196.9066,409.89,96.23543,1.008291
1668101342,15243.0,320.0172,44.02173,198.0646,411.4342,96.27145,1.017582
