Timestamp,Raw_value_MQ135,ACETONA,TOLUENO,ETANOL,CO2,NH4,CO
1668102469,14328.33,321.4472,44.27407,198.5163,400.9359,96.83662,0.9879485
1668102490,14467.0,326.4729,44.17991,196.1425,407.7211,98.79956,0.9531459
1668102510,14339.0,316.6935,43.01883,197.6361,410.2384,96.08897,0.9790637
1668102531,14352.33,321.5826,43.67014,199.8917,404.9041,96.20849,0.981436
1668102552,14339.0,312.6699,43.73565,191.841,408.9602,98.28616,0.9718953
1668102573,14221.67,320.2768,44.97103,197.7888,403.288,95.83886,0.9791054
1668102593,14285.67,324.7711,43.05794,199.3959,408.4089,96.76286,1.008767
1668102614,14312.33,326.9111,45.15917,200.5913,410.5491,92.8313,1.004707
1668102635,14520.33,325.4128,43.81236,196.7454,400.4196,98.18289,1.01241
1668102656,14651.0,317.698,43.24999,198.4929,406.5125,98.49436,0.9887294
1668102676,14939.0,319.9961,43.18502,201.0134,406.0002,96.83031,0.9845287
1668102697,15528.33,316.5816,43.27786,200.3368,408.6344,96.46531,0.9925732
1668102718,15371.0,323.2372,43.54831,196.1118,411.4466,98.80638,0.9950792
1668102739,15115.0,317.3223,43.39702,200.3866,409.897,97.25832,1.010029
1668102759,15019.0,322.5749,44.12752,196.7733,408.9151,97.10842,1.000511
1668102780,14957.67,321.2503,44.13828,199.498,418.924,96.61044,0.9899369
1668102801,14963.0,322.7535,43.50025,198.2031,411.5312,96.89783,0.9953825
1668102822,14883.0,324.5306,42.78221,194.2466,404.9456,95.87826,1.016995
1668102842,14829.67,321.5004,43.33806,201.9899,408.1009,97.68578,0.9812197
1668102863,14765.67,320.465,43.78301,201.3558,409.7484,94.4865,0.9886999
1668102884,14733.67,322.379,44.56807,194.2952,410.6534,97.96769,1.000865
1668102905,14747.0,319.7576,44.13221,195.8737,406.8118,96.39293,0.9807976
1668102926,14661.67,315.106,44.16671,201.0926,410.782,95.99665,1.003798
1668102946,14576.33,326.1806,42.97295,197.4546,407.3058,98.71003,1.022188
