Timestamp,Raw_value_MQ135,ACETONA,TOLUENO,ETANOL,CO2,NH4,CO
1667919267,8802.0,330.5806,44.2504,203.198,409.2462,97.34023,0.9997071
1667919288,8652.667,321.1865,44.2477,197.8491,414.9555,96.77178,1.049891
1667919308,8706.0,322.6766,43.32602,203.0022,406.7155,96.91169,1.01592
1667919329,8844.667,323.0317,44.28581,198.2731,401.2813,97.32828,0.9848505
1667919350,8759.333,323.0194,45.37378,201.7014,412.988,98.11948,0.9976279
1667919371,9002.0,317.2905,43.56564,199.334,408.7399,95.88356,1.054303
1667919391,8572.667,328.1101,44.19479,194.5529,417.9492,97.26382,1.060094
1667919412,8644.667,325.6736,44.21752,196.7355,401.1721,94.11866,1.014934
1667919433,10226.0,317.4705,42.99597,199.1604,410.3612,97.9624,0.9888359
1667919454,10063.33,322.6269,43.77815,201.1478,416.735,98.27598,0.9912856
1667919474,9932.667,322.718,44.01891,192.9675,415.4235,97.67258,1.003299
1667919495,9455.333,332.6606,44.56582,194.0228,402.6251,94.85966,1.011348
1667919516,9252.667,306.9396,44.06761,201.2118,407.3238,97.94872,0.9865465
1667919537,8426.0,320.2483,42.65972,192.4838,406.0023,96.21039,0.9653786
1667919557,8916.667,325.0746,44.0384,200.4723,411.199,95.34478,0.9916469
1667919578,8620.667,318.431,45.16877,202.9866,406.6035,96.30321,1.024107
1667919599,8676.667,326.5506,41.46137,197.1453,405.1799,97.95052,1.031854
1667919620,9007.333,313.0017,43.00763,198.2683,409.5589,98.2355,0.9487228
1667919641,8932.667,306.2393,44.82582,193.2466,415.3455,98.69143,1.040666
