Timestamp,Raw_value_MQ135,ACETONA,TOLUENO,ETANOL,CO2,NH4,CO
1667901950,8431.333,328.378,43.80865,196.9261,410.0489,98.17246,1.030885
1667901970,8412.667,317.5577,43.86382,197.8393,403.0183,97.98726,1.008823
1667901991,8404.667,325.8771,43.43003,199.8784,413.4665,97.51747,0.9759482
1667902012,8412.667,322.7379,44.46777,198.2938,404.8601,95.86834,0.9865836
1667902032,8412.667,324.1835,42.82274,193.0562,410.898,99.61041,1.019172
1667902053,8442.0,315.731,44.43045,193.587,406.7661,98.57126,0.9970821
1667902074,8426.0,305.1481,42.98777,198.5103,411.9444,99.36729,0.9896659
1667902095,8388.667,323.8185,43.69948,197.3936,408.8116,97.62235,1.023228
1667902115,8399.333,321.1151,43.32126,201.0277,411.2409,97.17904,0.9929073
1667902136,8404.667,312.8676,43.92754,198.0646,405.9745,98.45796,1.00373
1667902157,8487.333,317.7198,44.52268,199.7499,400.6589,96.32668,0.9999663
1667902178,8452.667,325.4803,44.47521,195.8616,415.0378,95.56693,1.041905
1667902198,8436.667,324.5461,43.45758,195.3019,407.9846,97.00479,0.9753762
1667902219,8460.667,315.6311,43.26868,189.7815,408.5689,95.53469,0.9768007
1667902240,8524.667,330.814,45.20975,197.8486,399.8894,96.82689,1.025628
1667902261,8479.333,323.5297,44.13684,197.3777,418.4548,96.41964,0.9828413
1667902282,8474.0,321.1646,43.96638,202.2814,409.5994,95.79163,0.9887132
1667902302,8492.667,317.9618,43.32902,201.4129,410.8377,97.52483,1.004335
1667902323,8383.333,325.2793,44.13444,195.3693,417.0945,95.62026,0.9666611
1667902344,8538.0,324.4243,44.07956,199.8972,409.7213,96.39053,0.998379
1667902365,8484.667,309.9688,44.02806,201.9912,401.0516,95.92801,1.01454
1667902385,8444.667,323.388,45.43773,198.5057,405.9308,94.71519,0.9913915
1667902406,8471.333,318.6995,43.97425,195.7761,417.6046,97.82813,0.9797968
1667902427,8484.667,316.1459,45.15633,198.1682,407.5669,97.01319,1.016751
1667902448,8442.0,319.0906,45.16299,197.1665,409.7077,95.85499,1.040037
1667902468,8500.667,321.4364,42.47396,198.9662,411.2199,96.31522,1.014339
1667902489,8543.333,321.2786,44.76419,197.4109,405.2257,96.47348,1.011637
1667902510,8487.167,322.1659,43.85664,193.9262,406.7203,97.51713,1.01011
1667902531,8575.333,316.7524,43.54659,199.92,399.1834,96.58145,0.9701693
1667902551,8548.667,319.104,43.86585,195.3862,400.2019,97.52741,0.9928505
