Timestamp,Raw_value_MQ135,ACETON,TOLUENO,ALCOHOL,CO2,NH4,CO
26, 0.4132415, 2.511636e-06, 1.063214e-06, 5.157701e-06, 6.798216e-05, 0.0003489987, 8.228702e-07
27, 0.4145406, 2.449348e-06, 1.035112e-06, 5.029791e-06, 6.65216e-05, 0.0003423848, 7.978262e-07
28, 0.4129192, 2.570395e-06, 1.089768e-06, 5.27837e-06, 6.935553e-05, 0.0003552026, 8.466274e-07
29, 0.413886, 2.442462e-06, 1.032009e-06, 5.015651e-06, 6.63598e-05, 0.000341651, 7.950665e-07
30, 0.4134026, 2.401753e-06, 1.013672e-06, 4.932061e-06, 6.540218e-05, 0.0003373039, 7.787881e-07
31, 0.4130803, 2.422062e-06, 1.022817e-06, 4.97376e-06, 6.588016e-05, 0.0003394747, 7.869012e-07
32, 0.4135637, 2.435625e-06, 1.028928e-06, 5.001612e-06, 6.619912e-05, 0.0003409221, 7.923275e-07
33, 0.412607, 2.360844e-06, 9.952657e-07, 4.848053e-06, 6.443758e-05, 0.0003329177, 7.624949e-07
34, 0.4135738, 2.394568e-06, 1.010436e-06, 4.917299e-06, 6.523286e-05, 0.0003365345, 7.759212e-07

